"n_features","strategy","meanAcc","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17","acc_18","acc_19","acc_20","acc_21","acc_22","acc_23","acc_24","acc_25"
5,"exclusion",0.82021978021978,0.846153846153846,0.5,0.928571428571429,0.857142857142857,0.846153846153846,0.642857142857143,0.928571428571429,0.857142857142857,0.769230769230769,0.846153846153846,0.857142857142857,0.692307692307692,0.857142857142857,0.846153846153846,0.857142857142857,0.692307692307692,0.928571428571429,0.928571428571429,0.857142857142857,0.769230769230769,0.857142857142857,0.714285714285714,0.923076923076923,0.846153846153846,0.857142857142857
10,"exclusion",0.83956043956044,0.923076923076923,0.857142857142857,0.642857142857143,0.846153846153846,0.785714285714286,0.642857142857143,0.785714285714286,0.928571428571429,0.846153846153846,0.923076923076923,0.785714285714286,1,0.857142857142857,0.692307692307692,0.857142857142857,1,0.846153846153846,0.785714285714286,0.785714285714286,0.857142857142857,0.785714285714286,0.928571428571429,0.923076923076923,0.846153846153846,0.857142857142857
15,"exclusion",0.80967032967033,0.785714285714286,0.923076923076923,0.928571428571429,0.692307692307692,0.857142857142857,0.785714285714286,0.769230769230769,0.785714285714286,0.642857142857143,1,0.857142857142857,0.846153846153846,0.857142857142857,0.846153846153846,0.714285714285714,0.928571428571429,0.714285714285714,0.846153846153846,0.769230769230769,0.642857142857143,0.846153846153846,0.642857142857143,0.714285714285714,0.846153846153846,1
20,"exclusion",0.793846153846154,0.692307692307692,0.857142857142857,0.857142857142857,0.785714285714286,0.692307692307692,0.692307692307692,0.928571428571429,0.714285714285714,0.928571428571429,0.769230769230769,0.642857142857143,0.692307692307692,0.714285714285714,0.857142857142857,0.846153846153846,0.846153846153846,0.857142857142857,0.785714285714286,0.769230769230769,0.857142857142857,0.714285714285714,0.923076923076923,0.642857142857143,0.857142857142857,0.923076923076923
25,"exclusion",0.823736263736264,0.846153846153846,0.769230769230769,0.714285714285714,0.857142857142857,0.714285714285714,0.769230769230769,0.857142857142857,0.785714285714286,0.846153846153846,0.928571428571429,0.857142857142857,0.769230769230769,0.846153846153846,0.928571428571429,0.785714285714286,0.928571428571429,0.714285714285714,0.692307692307692,0.923076923076923,0.928571428571429,0.928571428571429,0.642857142857143,0.714285714285714,1,0.846153846153846
30,"exclusion",0.801538461538462,0.692307692307692,0.785714285714286,0.857142857142857,0.785714285714286,0.846153846153846,0.846153846153846,0.769230769230769,0.857142857142857,0.857142857142857,0.785714285714286,0.692307692307692,0.928571428571429,0.692307692307692,0.928571428571429,0.785714285714286,0.846153846153846,0.785714285714286,0.769230769230769,0.571428571428571,1,0.785714285714286,0.692307692307692,0.857142857142857,0.928571428571429,0.692307692307692
35,"exclusion",0.803736263736264,0.928571428571429,1,0.846153846153846,0.5,0.785714285714286,0.714285714285714,0.928571428571429,0.846153846153846,0.714285714285714,1,0.642857142857143,1,0.769230769230769,0.769230769230769,0.857142857142857,0.692307692307692,0.692307692307692,0.714285714285714,0.857142857142857,0.785714285714286,0.714285714285714,0.857142857142857,0.923076923076923,0.785714285714286,0.769230769230769
40,"exclusion",0.80021978021978,0.769230769230769,0.785714285714286,0.769230769230769,0.642857142857143,0.928571428571429,0.923076923076923,0.785714285714286,0.785714285714286,0.857142857142857,0.846153846153846,0.923076923076923,0.785714285714286,0.857142857142857,0.692307692307692,0.714285714285714,0.846153846153846,0.846153846153846,0.857142857142857,0.714285714285714,0.714285714285714,0.785714285714286,0.769230769230769,0.692307692307692,0.857142857142857,0.857142857142857
45,"exclusion",0.823076923076923,0.928571428571429,0.846153846153846,0.846153846153846,0.642857142857143,0.714285714285714,0.923076923076923,0.846153846153846,0.857142857142857,0.714285714285714,0.928571428571429,0.928571428571429,0.769230769230769,0.769230769230769,0.857142857142857,0.857142857142857,0.857142857142857,0.785714285714286,0.857142857142857,0.769230769230769,0.846153846153846,0.769230769230769,0.928571428571429,0.785714285714286,0.692307692307692,0.857142857142857
50,"exclusion",0.813186813186813,0.928571428571429,0.785714285714286,0.923076923076923,0.923076923076923,0.928571428571429,0.785714285714286,0.846153846153846,0.857142857142857,0.769230769230769,0.642857142857143,0.714285714285714,0.857142857142857,0.769230769230769,0.923076923076923,0.642857142857143,0.857142857142857,1,0.5,0.785714285714286,0.846153846153846,0.714285714285714,0.785714285714286,0.928571428571429,0.846153846153846,0.769230769230769
