"n_features","strategy","meanAcc","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17","acc_18","acc_19","acc_20","acc_21","acc_22","acc_23","acc_24","acc_25"
5,"inclusion",0.774505494505495,0.785714285714286,0.571428571428571,0.857142857142857,0.846153846153846,0.846153846153846,0.857142857142857,0.846153846153846,0.846153846153846,0.714285714285714,0.642857142857143,0.785714285714286,0.785714285714286,0.692307692307692,0.785714285714286,0.923076923076923,0.769230769230769,0.846153846153846,0.785714285714286,0.714285714285714,0.785714285714286,0.642857142857143,0.714285714285714,0.769230769230769,0.857142857142857,0.692307692307692
10,"inclusion",0.82967032967033,0.923076923076923,0.785714285714286,0.857142857142857,0.923076923076923,0.857142857142857,0.928571428571429,0.785714285714286,0.923076923076923,0.857142857142857,0.846153846153846,0.846153846153846,0.785714285714286,0.785714285714286,0.846153846153846,0.928571428571429,0.692307692307692,0.928571428571429,0.923076923076923,0.785714285714286,0.642857142857143,0.785714285714286,0.692307692307692,0.785714285714286,0.769230769230769,0.857142857142857
15,"inclusion",0.85032967032967,0.714285714285714,0.846153846153846,0.857142857142857,1,0.857142857142857,0.785714285714286,0.857142857142857,0.769230769230769,0.846153846153846,0.714285714285714,0.928571428571429,0.923076923076923,0.857142857142857,0.857142857142857,0.769230769230769,0.769230769230769,1,0.857142857142857,0.857142857142857,0.785714285714286,0.928571428571429,0.928571428571429,0.846153846153846,0.857142857142857,0.846153846153846
20,"inclusion",0.82021978021978,0.785714285714286,1,0.785714285714286,0.785714285714286,0.846153846153846,0.846153846153846,0.692307692307692,0.857142857142857,0.928571428571429,0.785714285714286,0.571428571428571,0.785714285714286,0.769230769230769,0.928571428571429,0.615384615384615,0.846153846153846,0.857142857142857,0.615384615384615,0.928571428571429,0.857142857142857,0.857142857142857,0.928571428571429,0.923076923076923,0.923076923076923,0.785714285714286
25,"inclusion",0.847912087912088,0.846153846153846,0.857142857142857,1,0.785714285714286,0.642857142857143,0.769230769230769,0.857142857142857,0.928571428571429,0.714285714285714,0.846153846153846,0.928571428571429,0.857142857142857,0.846153846153846,0.923076923076923,0.857142857142857,0.857142857142857,0.928571428571429,0.923076923076923,0.846153846153846,0.785714285714286,0.785714285714286,0.785714285714286,0.923076923076923,0.846153846153846,0.857142857142857
30,"inclusion",0.817582417582418,0.923076923076923,0.857142857142857,0.846153846153846,0.714285714285714,0.714285714285714,0.857142857142857,0.769230769230769,0.928571428571429,0.714285714285714,0.692307692307692,0.857142857142857,0.928571428571429,0.692307692307692,0.769230769230769,0.928571428571429,0.714285714285714,0.923076923076923,0.769230769230769,1,0.785714285714286,0.923076923076923,0.846153846153846,0.714285714285714,0.714285714285714,0.857142857142857
35,"inclusion",0.823736263736264,0.785714285714286,0.857142857142857,0.846153846153846,0.692307692307692,0.857142857142857,0.642857142857143,0.857142857142857,0.714285714285714,0.923076923076923,0.923076923076923,0.857142857142857,0.846153846153846,0.785714285714286,0.846153846153846,0.714285714285714,0.846153846153846,0.928571428571429,0.615384615384615,0.928571428571429,0.857142857142857,0.785714285714286,0.857142857142857,0.769230769230769,1,0.857142857142857
40,"inclusion",0.836483516483516,0.857142857142857,0.923076923076923,0.857142857142857,0.846153846153846,0.785714285714286,0.846153846153846,0.714285714285714,1,0.785714285714286,0.928571428571429,0.923076923076923,0.714285714285714,0.857142857142857,0.642857142857143,0.846153846153846,0.769230769230769,0.785714285714286,0.846153846153846,0.928571428571429,0.785714285714286,0.857142857142857,0.857142857142857,0.785714285714286,0.769230769230769,1
45,"inclusion",0.818241758241758,0.923076923076923,1,0.642857142857143,0.642857142857143,0.857142857142857,0.785714285714286,0.857142857142857,0.928571428571429,0.692307692307692,0.769230769230769,0.857142857142857,0.857142857142857,0.714285714285714,1,0.692307692307692,0.923076923076923,0.846153846153846,0.714285714285714,0.714285714285714,0.928571428571429,0.846153846153846,0.692307692307692,0.785714285714286,0.857142857142857,0.928571428571429
50,"inclusion",0.812087912087912,0.785714285714286,0.785714285714286,0.923076923076923,0.714285714285714,0.769230769230769,0.846153846153846,0.846153846153846,0.785714285714286,0.785714285714286,0.928571428571429,0.785714285714286,0.857142857142857,0.692307692307692,0.846153846153846,0.714285714285714,0.857142857142857,0.857142857142857,0.846153846153846,0.857142857142857,0.923076923076923,0.846153846153846,0.857142857142857,0.642857142857143,0.857142857142857,0.692307692307692
55,"inclusion",0.794065934065934,0.846153846153846,0.785714285714286,0.857142857142857,0.857142857142857,0.769230769230769,0.769230769230769,0.692307692307692,0.785714285714286,0.785714285714286,0.857142857142857,0.769230769230769,0.928571428571429,0.571428571428571,0.692307692307692,0.928571428571429,1,0.714285714285714,0.785714285714286,0.769230769230769,0.642857142857143,0.928571428571429,0.846153846153846,0.928571428571429,0.571428571428571,0.769230769230769
60,"inclusion",0.814505494505494,0.769230769230769,0.785714285714286,0.769230769230769,0.928571428571429,0.857142857142857,0.923076923076923,0.642857142857143,0.857142857142857,0.769230769230769,0.928571428571429,0.692307692307692,0.785714285714286,0.857142857142857,0.785714285714286,0.923076923076923,0.769230769230769,0.846153846153846,0.785714285714286,0.857142857142857,0.857142857142857,0.692307692307692,0.923076923076923,0.857142857142857,0.785714285714286,0.714285714285714
65,"inclusion",0.817142857142857,0.857142857142857,0.846153846153846,0.642857142857143,1,0.714285714285714,0.785714285714286,0.785714285714286,0.692307692307692,0.928571428571429,0.769230769230769,0.769230769230769,0.785714285714286,0.846153846153846,0.857142857142857,0.928571428571429,0.714285714285714,0.769230769230769,0.928571428571429,0.857142857142857,0.846153846153846,0.692307692307692,0.785714285714286,0.857142857142857,1,0.769230769230769
70,"inclusion",0.832087912087912,0.615384615384615,0.785714285714286,0.923076923076923,0.857142857142857,0.857142857142857,0.857142857142857,0.692307692307692,0.846153846153846,0.857142857142857,0.857142857142857,0.785714285714286,1,0.769230769230769,0.928571428571429,0.846153846153846,1,0.846153846153846,0.714285714285714,0.785714285714286,0.923076923076923,0.714285714285714,0.714285714285714,0.923076923076923,0.857142857142857,0.846153846153846
75,"inclusion",0.805934065934066,0.785714285714286,0.642857142857143,0.923076923076923,0.769230769230769,0.857142857142857,0.714285714285714,0.769230769230769,0.769230769230769,0.928571428571429,0.928571428571429,0.846153846153846,0.857142857142857,0.928571428571429,0.923076923076923,0.785714285714286,0.692307692307692,0.857142857142857,0.923076923076923,0.785714285714286,0.571428571428571,0.785714285714286,0.857142857142857,0.769230769230769,0.785714285714286,0.692307692307692
80,"inclusion",0.775164835164835,0.714285714285714,0.785714285714286,0.769230769230769,0.928571428571429,0.846153846153846,1,0.642857142857143,0.928571428571429,0.692307692307692,0.714285714285714,0.857142857142857,0.571428571428571,0.5,0.846153846153846,0.769230769230769,0.714285714285714,0.846153846153846,0.785714285714286,0.846153846153846,0.928571428571429,0.857142857142857,0.769230769230769,0.571428571428571,0.571428571428571,0.923076923076923
85,"inclusion",0.819120879120879,0.642857142857143,0.846153846153846,0.923076923076923,0.785714285714286,1,0.857142857142857,0.692307692307692,0.846153846153846,0.714285714285714,0.857142857142857,0.642857142857143,0.857142857142857,0.923076923076923,0.846153846153846,0.785714285714286,0.785714285714286,0.769230769230769,0.923076923076923,0.928571428571429,0.642857142857143,1,0.857142857142857,0.857142857142857,0.923076923076923,0.571428571428571
90,"inclusion",0.818241758241758,0.692307692307692,0.857142857142857,1,0.714285714285714,0.785714285714286,0.857142857142857,0.928571428571429,0.769230769230769,0.785714285714286,0.923076923076923,0.714285714285714,0.923076923076923,0.642857142857143,0.714285714285714,0.769230769230769,0.857142857142857,0.785714285714286,0.769230769230769,0.923076923076923,0.857142857142857,0.846153846153846,0.769230769230769,0.928571428571429,0.785714285714286,0.857142857142857
95,"inclusion",0.830549450549451,1,0.692307692307692,0.857142857142857,0.928571428571429,0.5,0.923076923076923,0.923076923076923,0.714285714285714,0.857142857142857,0.857142857142857,0.769230769230769,0.714285714285714,0.785714285714286,0.846153846153846,0.857142857142857,0.928571428571429,0.769230769230769,0.785714285714286,0.857142857142857,1,0.846153846153846,0.928571428571429,0.571428571428571,0.928571428571429,0.923076923076923
100,"inclusion",0.831868131868132,1,0.642857142857143,0.857142857142857,0.846153846153846,0.857142857142857,0.928571428571429,0.714285714285714,0.928571428571429,0.846153846153846,0.538461538461538,0.928571428571429,0.785714285714286,0.846153846153846,0.846153846153846,1,0.769230769230769,0.857142857142857,0.928571428571429,0.769230769230769,0.714285714285714,0.857142857142857,0.785714285714286,0.769230769230769,0.857142857142857,0.923076923076923
