"percMiss","nFeatures","accuracy","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17","acc_18","acc_19","acc_20","acc_21","acc_22","acc_23","acc_24","acc_25","nComp_1","nComp_2","nComp_3","nComp_4","nComp_5","nComp_6","nComp_7","nComp_8","nComp_9","nComp_10","nComp_11","nComp_12","nComp_13","nComp_14","nComp_15","nComp_16","nComp_17","nComp_18","nComp_19","nComp_20","nComp_21","nComp_22","nComp_23","nComp_24","nComp_25"
0.5,611,0.835956043956044,0.846153846153846,0.857142857142857,0.642857142857143,0.846153846153846,0.785714285714286,0.8,0.928571428571429,0.846153846153846,0.923076923076923,0.769230769230769,0.928571428571429,0.923076923076923,1,0.857142857142857,0.714285714285714,0.785714285714286,0.714285714285714,0.928571428571429,0.846153846153846,0.846153846153846,0.846153846153846,1,0.714285714285714,0.692307692307692,0.857142857142857,6,3,7,2,6,6,3,3,7,3,2,6,3,3,3,3,4,3,3,6,4,3,8,6,3
0.55,602,0.850461538461538,0.846153846153846,0.857142857142857,0.785714285714286,0.846153846153846,0.785714285714286,0.8,0.928571428571429,0.846153846153846,0.923076923076923,0.769230769230769,0.928571428571429,0.923076923076923,1,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.928571428571429,0.846153846153846,0.923076923076923,0.923076923076923,1,0.785714285714286,0.615384615384615,0.857142857142857,6,3,5,2,9,6,3,7,6,3,2,6,3,4,3,4,4,3,3,6,6,3,6,4,3
0.6,584,0.838373626373626,0.923076923076923,0.857142857142857,0.785714285714286,0.846153846153846,0.785714285714286,0.8,0.857142857142857,0.846153846153846,0.846153846153846,0.769230769230769,0.928571428571429,0.846153846153846,0.846153846153846,0.857142857142857,0.714285714285714,0.857142857142857,0.785714285714286,0.928571428571429,0.923076923076923,0.923076923076923,0.846153846153846,0.928571428571429,0.714285714285714,0.615384615384615,0.928571428571429,6,3,4,2,4,6,3,3,7,3,2,8,6,4,3,6,3,3,5,8,6,5,8,7,3
0.65,553,0.825846153846154,0.846153846153846,0.857142857142857,0.785714285714286,0.846153846153846,0.785714285714286,0.8,0.928571428571429,0.846153846153846,0.846153846153846,0.769230769230769,0.928571428571429,0.769230769230769,0.692307692307692,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.928571428571429,0.846153846153846,0.846153846153846,0.846153846153846,1,0.714285714285714,0.692307692307692,0.928571428571429,7,3,4,2,8,6,3,3,8,3,2,3,4,4,3,6,4,3,3,6,4,3,7,7,3
0.7,520,0.844527472527473,0.923076923076923,0.857142857142857,0.714285714285714,0.769230769230769,0.785714285714286,0.8,0.928571428571429,0.846153846153846,0.846153846153846,0.846153846153846,0.928571428571429,0.923076923076923,0.846153846153846,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.928571428571429,0.846153846153846,0.923076923076923,0.846153846153846,1,0.714285714285714,0.769230769230769,0.928571428571429,8,3,6,6,6,6,3,3,6,3,4,3,4,4,3,6,4,3,3,8,6,3,6,7,3
0.75,476,0.859252747252747,0.923076923076923,0.857142857142857,0.785714285714286,0.846153846153846,0.785714285714286,0.8,1,0.846153846153846,0.846153846153846,0.846153846153846,0.857142857142857,0.923076923076923,0.846153846153846,0.857142857142857,0.714285714285714,0.857142857142857,0.785714285714286,0.928571428571429,0.923076923076923,0.923076923076923,0.846153846153846,1,0.857142857142857,0.769230769230769,0.857142857142857,7,3,5,3,6,7,11,3,3,3,7,3,8,4,3,7,3,3,3,8,6,3,3,7,3
0.8,422,0.830212454212454,0.923076923076923,0.857142857142857,0.714285714285714,0.846153846153846,0.785714285714286,0.733333333333333,0.857142857142857,0.769230769230769,0.923076923076923,0.769230769230769,0.857142857142857,0.769230769230769,0.923076923076923,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.928571428571429,0.923076923076923,0.846153846153846,0.846153846153846,1,0.857142857142857,0.769230769230769,0.714285714285714,3,3,5,3,6,8,8,8,3,3,4,3,4,4,3,6,4,3,4,8,3,3,4,8,3
0.85,393,0.821201465201465,0.923076923076923,0.857142857142857,0.642857142857143,0.846153846153846,0.785714285714286,0.733333333333333,0.785714285714286,0.769230769230769,0.923076923076923,0.846153846153846,0.857142857142857,0.846153846153846,0.692307692307692,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.928571428571429,0.923076923076923,0.846153846153846,0.846153846153846,1,0.857142857142857,0.692307692307692,0.785714285714286,3,3,5,3,6,8,3,4,3,5,7,3,4,4,3,4,4,3,3,7,4,3,3,4,3
0.9,350,0.799692307692308,0.923076923076923,0.857142857142857,0.714285714285714,0.769230769230769,0.785714285714286,0.8,0.857142857142857,0.769230769230769,0.846153846153846,0.769230769230769,0.857142857142857,0.769230769230769,0.769230769230769,0.785714285714286,0.714285714285714,0.785714285714286,0.714285714285714,0.928571428571429,0.846153846153846,0.846153846153846,0.769230769230769,0.785714285714286,0.857142857142857,0.615384615384615,0.857142857142857,3,3,6,3,5,6,5,3,3,3,3,3,6,4,3,4,3,3,3,2,3,7,4,6,3
0.95,301,0.808483516483516,0.923076923076923,0.857142857142857,0.714285714285714,0.846153846153846,0.785714285714286,0.8,0.857142857142857,0.769230769230769,0.846153846153846,0.769230769230769,0.857142857142857,0.769230769230769,0.769230769230769,0.785714285714286,0.714285714285714,0.785714285714286,0.714285714285714,0.928571428571429,0.769230769230769,0.846153846153846,0.769230769230769,0.857142857142857,0.857142857142857,0.692307692307692,0.928571428571429,3,3,6,3,3,4,3,3,3,3,3,3,7,9,3,6,4,3,4,2,3,11,4,8,4
