"n_features","strategy","meanAcc"
5,"random",0.603106227106227
10,"random",0.627094505494506
15,"random",0.706912820512821
20,"random",0.681641025641026
25,"random",0.692955311355311
30,"random",0.712380952380952
35,"random",0.713183882783883
40,"random",0.732969963369963
45,"random",0.740351648351648
50,"random",0.759381684981685
55,"random",0.772996336996337
60,"random",0.75876336996337
65,"random",0.777728937728938
70,"random",0.767844688644689
75,"random",0.779367032967033
80,"random",0.7792
85,"random",0.791648351648352
90,"random",0.778394139194139
95,"random",0.766147985347985
100,"random",0.789983882783883
105,"random",0.79512673992674
110,"random",0.778484981684982
115,"random",0.785345054945055
120,"random",0.801635164835165
125,"random",0.792389743589744
130,"random",0.782499633699634
135,"random",0.795941391941392
140,"random",0.80727326007326
145,"random",0.794487912087912
150,"random",0.787097435897436
155,"random",0.793808058608059
160,"random",0.800474725274725
165,"random",0.811463736263736
170,"random",0.804167032967033
175,"random",0.800205128205128
180,"random",0.802215384615385
185,"random",0.819009523809524
190,"random",0.804052747252747
195,"random",0.810968498168498
200,"random",0.821427106227106
205,"random",0.818883516483517
210,"random",0.815091575091575
215,"random",0.806441025641026
220,"random",0.82152380952381
225,"random",0.815226373626374
230,"random",0.826778021978022
235,"random",0.815062271062271
240,"random",0.818068864468865
245,"random",0.833301098901099
250,"random",0.819610256410256
255,"random",0.812987545787546
260,"random",0.827721611721612
265,"random",0.824120146520147
270,"random",0.835715750915751
275,"random",0.816401465201465
280,"random",0.822558241758242
285,"random",0.822250549450549
290,"random",0.816477655677656
295,"random",0.822526007326007
300,"random",0.829403663003663
305,"random",0.827422710622711
310,"random",0.824899633699634
315,"random",0.823173626373626
320,"random",0.831399267399267
325,"random",0.826742857142857
330,"random",0.82487032967033
335,"random",0.83236043956044
340,"random",0.820111355311355
345,"random",0.841749450549451
350,"random",0.838631501831502
355,"random",0.828926007326007
360,"random",0.823970695970696
365,"random",0.836298901098901
370,"random",0.83483956043956
375,"random",0.825910622710623
380,"random",0.828846886446886
385,"random",0.82851282051282
390,"random",0.830021978021978
395,"random",0.826883516483516
400,"random",0.842388278388278
405,"random",0.833664468864469
410,"random",0.832249084249084
415,"random",0.845312820512821
420,"random",0.833667399267399
425,"random",0.825810989010989
430,"random",0.850074725274725
435,"random",0.835472527472528
440,"random",0.842523076923077
445,"random",0.838177289377289
450,"random",0.839079853479853
455,"random",0.848064468864469
460,"random",0.844603663003663
465,"random",0.846816117216117
470,"random",0.837183882783883
475,"random",0.840407326007326
480,"random",0.843308424908425
485,"random",0.842745787545788
490,"random",0.838452747252747
495,"random",0.832017582417582
500,"random",0.842593406593407
505,"random",0.847076923076923
510,"random",0.837740659340659
515,"random",0.841148717948718
520,"random",0.842027838827839
525,"random",0.845553113553114
530,"random",0.843903296703297
535,"random",0.843771428571429
540,"random",0.842001465201465
545,"random",0.844117216117216
550,"random",0.835838827838828
555,"random",0.848126007326007
560,"random",0.837939926739927
565,"random",0.84705641025641
570,"random",0.847065201465201
575,"random",0.855472527472527
580,"random",0.84007326007326
585,"random",0.840814652014652
590,"random",0.848952380952381
595,"random",0.843759706959707
600,"random",0.849714285714286
605,"random",0.834356043956044
