"Accession","clustAssign"
"P78386",1
"O76009",1
"O43790",1
"Q15323",1
"A0A140TA69",1
"Q14525",1
"P78385",1
"Q9BYR8",2
"Q92764",1
"Q9BYS1",1
"Q14532",1
"O95678",1
"Q9NSB4",1
"P15924",1
"P14618",1
"Q9BYQ5",2
"P08729",1
"P33764",2
"Q14533",2
"O76015",2
"Q9BYQ3",2
"Q6A163",1
"Q86SJ6",1
"A0A140TA58",2
"P04264",1
"P14923",1
"P62805",1
"O60814",1
"P84243",1
"A0A0G2JLE6",2
"Q16777",1
"Q9BYR7",2
"Q9BYQ6",2
"Q13835",1
"P0DPA2",1
"P47929",2
"Q8IUC3",2
"Q9BYQ0",2
"Q9BYR6",2
"P31947",1
"A0A140TA67",2
"P07355",1
"Q6MZM0",1
"Q13228",1
"P62937",1
"P06576",1
"O95147",1
"Q9BYR4",2
"P68371",1
"Q9BYP9",2
"Q9BYR9",1
"Q8IUC2",2
"P17931",1
"P28838",1
"P02533",1
"B4DQH6",1
"P13645",1
"Q86SG7",1
"Q3LI72",2
"P22392",1
"P14174",2
"Q15437",1
"Q9BYR5",2
"Q71U36",1
"Q08188",1
"P04792",1
"O76014",1
"J3QTR3",1
"P35527",1
"E9PIL2",1
"Q9BYR3",2
"Q13885",1
"Q14134",1
"P30041",2
"P04406",1
"P27482",2
"P10599",2
"P05091",1
"P45880",1
"P40926",1
"Q5JVD6",1
"P60411",1
"P13639",1
"Q8IUC0",2
"P54652",1
"Q15149",1
"A0A2R8Y7Z0",1
"P07686",1
"Q8NDW8",1
"Q9Y3R4",1
"P06733",1
"Q7Z406",1
"Q9H425",1
"Q3LI83",1
"P51178",1
"P40967",1
"Q7Z4W1",2
"Q5JW98",1
"A0A140TA64",2
"Q01469",2
"A8MXZ3",2
"Q8N1N4",1
"A0A1B0GVD5",1
"Q9NSB2",1
"Q96P63",2
"P25705",1
"A0A087X0X3",2
"P11021",1
"P10809",1
"P63261",1
"P02545",1
"Q04837",1
"Q9Y446",1
"A0A087WTT1",1
"Q8IUC1",2
"P12532",1
"A0A087WXI5",1
"P49327",1
"P60842",1
"Q8TF66",1
"P35221",1
"P35908",1
"P51659",1
"P61604",1
"O76013",1
"P60174",1
"Q9BYQ8",2
"Q9ULW8",1
"H0YF27",1
"P62258",1
"Q5VT06",1
"Q9Y316",1
"P07195",1
"Q8IV08",1
"P32119",1
"A0A286YFA2",1
"P68104",1
"P09211",1
"P63104",2
"Q93077",1
"P11142",1
"H0YFD6",2
"P81605",2
"P09382",2
"P21964",1
"P10412",1
"A8MUX0",1
"Q9NZT1",2
"P07858",1
"Q9GZP4",1
"Q7L5L3",1
"Q6A162",1
"P61970",1
"P50395",1
"P26639",1
"Q8N490",2
"Q52LG2",2
"Q13867",1
"K7ERE3",1
"F8W809",1
"P31930",1
"P00558",1
"P13647",1
"Q92820",1
"O95833",1
"P36952",1
"A0A0J9YWL0",1
"P55795",2
"P49748",1
"Q9UNN8",1
"P07108",2
"P04745",1
"Q9HCY8",1
"P07900",1
"P02768",1
"Q96QA5",1
"P02511",2
"P26641",1
"E9PH18",1
"P43155",1
"P21796",1
"Q9UIV8",1
"P62913",1
"Q6P587",1
"P08865",1
"P62701",1
"Q9UMX0",2
"P22735",1
"Q5TEC6",1
"A0A0C4DGH5",1
"P62081",1
"P68366",1
"Q99714",1
"P18669",1
"H9KV75",1
"O75367",1
"C9JF17",1
"P29401",1
"A0A2R8Y619",2
"P60412",1
"P60413",1
"A0A0G2JIW1",1
"Q07627",1
"Q92874",1
"Q5STU3",1
"P16401",1
"Q9BUF5",1
"Q8NFI3",1
"A0A0C4DGI3",1
"Q9BPW8",1
"B5MDF5",1
"J3KRC4",1
"P40121",1
"H0YKD8",1
"A0A3B3ISS6",1
"P41250",2
