"Accession","N","cvAcc","cohensD","p_uncorr","p_FDR","signInd"
"P15924",95,0.549473684210526,-0.328827605942896,0.110737215775398,0.20349594941366,""
"P78386",95,0.593684210526316,-0.515794072081442,0.0208827050392484,0.0829043390058161,""
"O76009",95,0.583157894736842,-0.496295053094399,0.0231913459927505,0.0876853748487805,""
"O43790",95,0.576842105263158,-0.415617397704725,0.0616313826753132,0.150108336945395,""
"Q13835",95,0.562105263157895,-0.343021981544669,0.0927008466337823,0.183095702057769,""
"Q9NSB4",95,0.576842105263158,-0.379146868378521,0.0709666101812597,0.15917369628226,""
"Q92764",95,0.585263157894737,-0.493014689365302,0.0262228081107231,0.092385250691077,""
"Q15323",95,0.576842105263158,-0.542064792486374,0.0159988052088091,0.0710092608851668,""
"P14923",95,0.583157894736842,-0.43396025131443,0.0385838500739855,0.114554394569353,""
"Q14532",95,0.562105263157895,-0.410517872007146,0.0530108995460033,0.135776303998473,""
"Q6A163",95,0.587368421052632,-0.461598321563457,0.0323485667785344,0.10393988788034,""
"P04264",95,0.629473684210526,0.649608429067269,0.0016699545133134,0.0265188776714169,"sign"
"Q86SJ6",95,0.568421052631579,-0.386874730110748,0.0690674693782802,0.156622625103749,""
"Q13228",95,0.583157894736842,-0.54234238191896,0.0114032963530268,0.062015679675453,""
"P06576",95,0.618947368421053,-0.535797786288369,0.012789382734099,0.0650946787876576,""
"P28838",95,0.574736842105263,-0.386124329029042,0.0670157494060181,0.155500274209313,""
"O76015",95,0.572631578947368,0.120063253349772,0.577030643126855,0.660176268937642,""
"P31947",95,0.566315789473684,-0.334097835813453,0.117342608241538,0.212716965625072,""
"Q6MZM0",95,0.55578947368421,-0.286460556798322,0.167164526841219,0.268681445975563,""
"Q08188",95,0.562105263157895,-0.424545690996136,0.0511795154318196,0.132449888796803,""
"P04406",95,0.589473684210526,-0.310243573424074,0.15713930185011,0.257786375349147,""
"P78385",95,0.595789473684211,-0.331545322173687,0.12569999122513,0.219836548530294,""
"P62805",95,0.621052631578947,-0.4713448289035,0.0288574532806213,0.0963740515869777,""
"Q14134",95,0.56,-0.411889262686462,0.0448317551905225,0.122681091093943,""
"O76013",95,0.610526315789474,-0.602731589900365,0.00523547729535163,0.041569689725092,"sign"
