"Accession","N","cvAcc","cohensD","p_uncorr","p_FDR","signInd"
"P15924",75,0.733333333333333,-0.25030152011608,0.301844535466653,0.561829219242081,""
"P78386",75,0.733333333333333,-0.342384553037795,0.205460145454565,0.519466749964688,""
"O76009",75,0.728,-0.303552571688681,0.234260312357132,0.521411487848741,""
"O43790",75,0.730666666666667,-0.308141728415898,0.285381300692084,0.553128176152645,""
"Q13835",75,0.733333333333333,-0.31284787309349,0.17598421025441,0.519466749964688,""
"Q9NSB4",75,0.733333333333333,-0.225010886951488,0.331946891247987,0.575471248146074,""
"Q92764",75,0.728,-0.320884740790926,0.246743121352804,0.526743733741943,""
"Q15323",75,0.728,-0.362206908029744,0.224328075060412,0.519466749964688,""
"P14923",75,0.72,-0.376295848180882,0.116621510184168,0.456944498131062,""
"Q14532",75,0.733333333333333,-0.234623062267302,0.312293030501693,0.561829219242081,""
"Q6A163",75,0.730666666666667,-0.344960878109743,0.192137118153658,0.519466749964688,""
"P04264",75,0.730666666666667,0.879330795319612,0.000175134668026797,0.0139056926413277,"sign"
"Q86SJ6",75,0.728,-0.375424333290735,0.17219135887296,0.519466749964688,""
"Q13228",75,0.725333333333333,-0.456331842774035,0.0606102769939403,0.375973124478036,""
"P06576",75,0.728,-0.447949909173029,0.105584508733084,0.456717337907557,""
"P28838",75,0.736,-0.310804047566204,0.229854516135678,0.521411487848741,""
"O76015",75,0.733333333333333,0.369547069264147,0.195301771193819,0.519466749964688,""
"P31947",75,0.733333333333333,-0.298721431298707,0.290251022203511,0.559367261236864,""
"Q6MZM0",75,0.733333333333333,-0.150711520146953,0.538220102134726,0.731758152559885,""
"Q08188",75,0.730666666666667,-0.228776638738861,0.366327306597731,0.600385947592426,""
"P04406",75,0.733333333333333,0.0125358121791515,0.954967924921577,0.987098280291722,""
"P78385",75,0.733333333333333,-0.233116698739083,0.434516501454339,0.647920267587684,""
"P62805",75,0.728,-0.290531541363821,0.236962100906051,0.521411487848741,""
"Q14134",75,0.733333333333333,-0.284418978061539,0.197649929725654,0.519466749964688,""
"O76013",75,0.730666666666667,-0.308051247100704,0.250767167952714,0.526743733741943,""
"P13645",75,0.765333333333333,0.986332155765942,0.000214626164296098,0.0142010978709252,"sign"
"P62937",75,0.730666666666667,-0.179967214542317,0.504666902185735,0.707960283278221,""
"Q14525",75,0.730666666666667,-0.303280879293995,0.246210956631752,0.526743733741943,""
"P68371",75,0.733333333333333,-0.205406249648938,0.419299361225724,0.641035545391737,""
"P07355",75,0.733333333333333,-0.00739762159471657,0.975279556665053,0.987341630609933,""
"Q9Y446",75,0.728,-0.482714074252434,0.051905208816346,0.362348394221165,""
"P13647",75,0.688,0.58839849822998,0.0105823152254273,0.237627500728863,""
"Q15149",75,0.733333333333333,-0.34442578396215,0.126047437607614,0.471371301008326,""
"P02533",75,0.706666666666667,0.550609480657965,0.00960288387426773,0.237627500728863,""
"Q8TF66",75,0.733333333333333,-0.287422692937978,0.187994558895064,0.519466749964688,""
"P11021",75,0.744,-0.601485771625703,0.0236391014081696,0.260686757195648,""
"P54652",75,0.733333333333333,-0.178001265103763,0.469494697132878,0.672885901666977,""
"P35527",75,0.733333333333333,-0.0679004381300517,0.779414389278098,0.900895974779951,""
"P68366",75,0.733333333333333,-0.206577199651656,0.391436275534832,0.624097194326619,""
"P49327",75,0.730666666666667,-0.443400326933456,0.055723673854861,0.362348394221165,""
"O60814",75,0.712,-0.305394374143006,0.206588176155842,0.519466749964688,""
"P02768",75,0.669333333333333,0.866130758382226,2.60239090837997e-05,0.00344383063542282,"sign"
"P10809",75,0.733333333333333,-0.164808865009763,0.524733062717688,0.718936888892521,""
"P22735",75,0.733333333333333,-0.328462796969257,0.169968698825005,0.519466749964688,""
"P02545",75,0.733333333333333,-0.179527647535939,0.452604274151639,0.658182772301102,""
"Q96QA5",75,0.741333333333333,-0.394250941947121,0.131793990962026,0.471371301008326,""
"Q6KB66",75,0.733333333333333,-0.105043041820087,0.662306039162677,0.828817234250823,""
"O95147",75,0.736,-0.290225655559455,0.280394519918742,0.548357755703155,""
"P68431",75,0.701333333333333,-0.504699862697621,0.0351233693540133,0.324278549617286,""
"P13639",75,0.728,-0.194339649391904,0.443853627255901,0.652141510517486,""
"P47929",75,0.736,-0.426420589917499,0.160483960543561,0.519466749964688,""
"P25705",75,0.733333333333333,-0.257665182231266,0.269190666461127,0.545248441760548,""
"P68104",75,0.730666666666667,-0.312147240476089,0.197132223594241,0.519466749964688,""
"P35232",75,0.733333333333333,-0.0559160602254089,0.835506557251853,0.93276735904326,""
"Q6A162",75,0.733333333333333,-0.246274249134042,0.308331683147876,0.561829219242081,""
"P0DPA2",75,0.733333333333333,-0.38305686967403,0.14323435772098,0.494469913175905,""
"P40926",75,0.733333333333333,-0.327475497610175,0.195000070651045,0.519466749964688,""
"Q86SG7",75,0.733333333333333,-0.110239327968768,0.634801103366122,0.805163060819011,""
"P49748",75,0.733333333333333,-0.184144785115306,0.44516460793511,0.652141510517486,""
"P51659",75,0.733333333333333,-0.359697583805359,0.120871762409097,0.461404708427034,""
"Q9ULW8",75,0.722666666666667,-0.465221711560554,0.0459935758101109,0.362348394221165,""
"P06733",75,0.733333333333333,-0.345562381427133,0.247795360238521,0.526743733741943,""
"P05091",75,0.733333333333333,-0.186764101750612,0.435436526633508,0.647920267587684,""
"P36952",75,0.733333333333333,-0.320363860054109,0.178072624930304,0.519466749964688,""
"P07686",75,0.733333333333333,-0.0893214324940411,0.721152737983222,0.859752663601619,""
"P11142",75,0.733333333333333,-0.10697292063094,0.667618768384023,0.828817234250823,""
"P04792",75,0.728,-0.261886701813723,0.311595982554116,0.561829219242081,""
"P17931",75,0.730666666666667,-0.262778100535188,0.304520836125672,0.561829219242081,""
"P07195",75,0.749333333333333,-0.453087341871312,0.106764701534766,0.456717337907557,""
"P35908",75,0.725333333333333,0.249321882876048,0.303618447371806,0.561829219242081,""
"P60174",75,0.733333333333333,-0.12859249742176,0.616189511852035,0.798743622912768,""
"P27482",75,0.76,0.718175736057502,0.0124834382368969,0.237627500728863,""
"P00558",75,0.736,-0.193523838395687,0.467146834462052,0.672327829682005,""
"Q16777",75,0.728,-0.42564068366469,0.0940450627609374,0.438047864357703,""
"P14618",75,0.736,-0.303975544523126,0.25000157640614,0.526743733741943,""
"Q01469",75,0.738666666666667,-0.276618480983437,0.364703853966364,0.600385947592426,""
"P16152",62,0.697272727272727,0.123229787275918,0.691489318593989,0.841163185604533,""
"P26641",74,0.713523809523809,-0.467374006024941,0.0436781598386838,0.362348394221165,""
"P60842",75,0.733333333333333,-0.616073610574837,0.0326122776564383,0.308263672133476,""
"P06744",74,0.738095238095238,-0.338247870983064,0.154906739039384,0.517599169921254,""
"P07900",74,0.716190476190476,-0.615043143909083,0.0224482061323893,0.260686757195648,""
"Q14974",75,0.733333333333333,-0.328395188387977,0.233787741870709,0.521411487848741,""
"P69905",75,0.781333333333333,1.5568523614176,7.20610573950955e-09,2.86082397858529e-06,"sign"
"Q9NZT1",75,0.733333333333333,0.455721083568039,0.094891980692097,0.438047864357703,""
"Q52LG2",75,0.733333333333333,-0.0751555393094318,0.769242944714335,0.895570231822848,""
"P23284",73,0.725714285714286,-0.359173888598166,0.117808013577432,0.456944498131062,""
"P45880",75,0.730666666666667,-0.367922108382834,0.148195058528609,0.507184812378083,""
