Prot_FDR_confidence;Accession;Description;SV1_Abund.;SV2_Abund.;SV3_Abund.;SV4_Abund.;SV5_Abund.;SV6_Abund.;SV7_Abund.;SV8_Abund.;SV9_Abund.;SV10_Abund.;SV11_Abund.;SV17_Abund.;SV20_Abund.;SV21_Abund.;SV22_Abund.;SV23_Abund.;SV24_Abund.;SV27_Abund.;SV29_Abund.;SV30_Abund.;SV31_Abund.;SV32_Abund.;SV33_Abund.;SV34_Abund.;SV38_Abund.;SV41_Abund.;SV42_Abund.;SV43_Abund.;SV44_Abund.;SV47_Abund.;SV48_Abund.;SV49_Abund.;SV51_Abund.;SV52_Abund.;SV53_Abund.;SV54_Abund.;SV55_Abund.;SV56_Abund.;SV57_Abund.;SV58_Abund.;SV59_Abund.;SV60_Abund.;SV61_Abund.;SV62_Abund.;SV63_Abund.;SV64_Abund.;SV65_Abund.;SV66_Abund.;SV67_Abund.;SV68_Abund.;SV69_Abund.;SV70_Abund.;SV71_Abund.;SV72_Abund.;SV73_Abund.;SV74_Abund.;SV75_Abund.;SV76_Abund.;SV77_Abund.;SV78_Abund.;SV79_Abund.;SV80_Abund.;SV81_Abund.;SV82_Abund.;SV83_Abund.;SV84_Abund.;SV85_Abund.;SV86_Abund.;SV87_Abund.;SV88_Abund.;Biological_Process;Cellular_Component;Molecular_Function;Amount_1;Percentage_1;Amount_2;Percentage_2;Amount_NSSI;Percentage_NSSI;Amount_HC;Percentage_HC
High;P78386;Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1;70656461036;2.04324E+11;1.92099E+11;2.40018E+11;1.32501E+11;2.40174E+11;73595369598;1.78207E+11;3.21274E+11;3.09851E+11;84851261631;1.92757E+11;92845526673;59147174495;1.076E+11;3.65737E+11;1.51637E+11;1.96629E+11;73870366039;82791607738;58674491041;21613006189;34422556315;2629647196;51060324143;73289376787;1.97752E+11;99891586365;1.09518E+11;94662338422;1.36224E+11;67573699896;96813512034;43325475352;3.163E+11;1.15297E+11;1.23901E+11;39656608325;1.18178E+11;36595151567;14404683241;38169593493;1.83216E+11;69210958783;62439149050;85419947996;2.08997E+11;2.64031E+11;2.10062E+11;1.64763E+11;5112133375;1.44789E+11;1941516747;15963489348;10224934355;1.11915E+11;1.60348E+11;31996776643;51957050672;1.19007E+11;5856462293;6351735447;33612386283;1.16999E+11;31775114855;50910459214;5650597444;93187223398;1.63381E+11;91245948626;other biological processes;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;O76009;Keratin, type I cuticular Ha3-I OS=Homo sapiens OX=9606 GN=KRT33A PE=2 SV=2;63581217479;1.15154E+11;1.21861E+11;1.98764E+11;1.24723E+11;1.70109E+11;43003817992;93007044937;2.58573E+11;2.54485E+11;44056141349;83368981254;46141451904;27569955690;29366916441;1.31454E+11;69174693599;80243145948;44393594897;24655770613;50303494256;9525295335;12256301332;895336387.9;14222303261;41837193851;1.0243E+11;65634480270;50540536757;72889131697;85445846536;36650120169;46052345057;21721850690;1.84258E+11;54922099422;43806207997;21443559785;78526477418;14524408887;4472368422;23217905549;1.28841E+11;33060347732;34785272405;44755717974;1.10947E+11;1.24747E+11;1.25168E+11;1.2384E+11;3563691324;1.11014E+11;2095528022;15023302785;8597871078;82479230049;1.00231E+11;17803065301;29020385758;73411123771;3089211053;3470704449;21633705115;79453533587;24670876096;40470654579;2639241594;51962009129;97198194868;67562073213;;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;O43790;Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1;36732066246;1.67264E+11;1.56143E+11;1.40346E+11;1.14846E+11;1.12832E+11;75882080254;1.61166E+11;2.14522E+11;2.31282E+11;42590647418;1.07174E+11;67968606790;61751257669;1.98893E+11;1.6422E+11;1.17153E+11;93482030210;60199797622;1.01273E+11;46607062247;28937835314;47311397515;1232576116;62996633855;76830062855;1.43543E+11;1.03088E+11;1.0727E+11;98275121295;1.27598E+11;73822354815;1.32385E+11;57509599235;2.20766E+11;1.20957E+11;1.38257E+11;33978120235;80095390307;47233592816;21720348661;27286462641;1.30667E+11;84412670884;51276180812;1.08267E+11;1.38567E+11;1.63309E+11;2.79363E+11;88849559279;2821530440;88768162690;1154871027;8735623282;6310822413;53325532609;80080551929;18428650858;62957069470;64770346425;6252098378;6092041932;28836548000;99559820580;27575678778;47976069898;4501791430;60212597916;1.20998E+11;1.0544E+11;;"cytosol;cytoskeleton";;70;100;70;100;36;100;34;100
High;Q15323;Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3;36179523128;1.08141E+11;1.12875E+11;1.02215E+11;73016766846;79672654527;63759457509;94774494957;1.04336E+11;1.37734E+11;30425519583;62678072566;31765572178;27982868432;44265304692;80110413244;55702930063;55572739895;31407991864;32248345046;37236802719;24134223885;30185293183;3062127212;51338146733;37476882110;64317183655;59468668465;61159416149;51713926897;69620643490;43207686113;55212195789;40655581546;1.10684E+11;58396774478;54328951603;25217520655;51022020565;33867676746;28002676652;20149105828;83562670539;55656198848;39882829534;57785758220;64663873094;97693905441;80814619666;49187436207;4437606993;75685535783;1129917579;11147919164;8737822320;48967849637;54150227215;13678470390;54662253474;61769618379;9686307403;9929749941;18522521157;55740460933;25533603097;32941538537;4934651775;38986584322;84886220367;66508157168;"cell organization and biogenesis;other biological processes";"cytosol;cytoskeleton";cytoskeletal activity;70;100;70;100;36;100;34;100
High;A0A140TA69;Keratin, type I cuticular Ha4 OS=Homo sapiens OX=9606 GN=KRT34 PE=3 SV=1;25046180761;44327390730;49910841341;75422220990;53681075264;64560453395;17575304556;41345695276;92570923964;99138310506;15537340424;46992086434;21169488086;15946345527;15615970064;54642081126;35247953125;36434002240;18745773627;11668039146;20160728111;2714286875;4795858572;304232854.2;8518556595;17522012179;38537237196;28340271824;22815112121;34848328354;43612993739;12792816974;17315994899;9695933996;85239024926;25224125725;15985640059;7398834125;28927886077;6042353232;1026546369;9120253356;52754559192;13425811544;9827139095;18083373087;56731448838;66890101014;56769914451;50469567833;1114885531;47117437375;491250671.9;4836488587;3473309055;39590817325;38549729920;6630788374;14518797135;38770953030;977209761.1;1065172883;12810441594;37845815101;11773265875;19385122206;1045452455;25905573884;48880640068;27155874234;;cytoskeleton;other molecular function;70;100;70;100;36;100;34;100
High;Q14525;Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3;6162430332;14144651286;11668784300;18864982665;12259893665;19427938555;4860235713;10868138460;25211064750;19672141648;5773642570;8662814165;4128228386;3848518089;4989365020;8506231678;9056247724;6572897014;4142202747;5035940474;8084568238;2164761021;3122079416;222059868.9;1602969768;8452804592;11967691309;6535158893;5383976450;7952019316;8799248871;5662230093;5577758652;6013174652;19145388086;8682137294;6763878416;4312873255;8749339435;2903402292;639965534.2;4468030425;15500272098;5054102579;6282103289;8019374584;13906167144;14071692458;20066920517;9517847299;696671901.8;10444481581;276229086;2139160178;1353571210;6768311948;6431746080;2587134740;3043439408;5444924207;749629576.3;808476413.5;3783532717;7633740333;4096539426;5580199615;765098193.6;7230217958;12730821305;11352897889;other biological processes;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;P78385;Keratin, type II cuticular Hb3 OS=Homo sapiens OX=9606 GN=KRT83 PE=1 SV=2;3229968099;8472321061;18477137398;11308047629;7420971785;9589357699;6528042827;24265815789;28828090549;31085419735;3862612221;14717215279;5693913585;8243231248;21407996686;23580154245;12019153827;4141698297;8871125045;8151035169;6268816637;3308761831;2775783430;121102639.4;3723479226;5677879697;6183916289;22007771429;7969133761;12707450992;8252832475;7863213437;15220789829;10191959808;8982142129;7874699012;7089779885;2115786330;4381217426;2600239130;1896549469;962260808.7;14459643870;5670603415;5048531790;10235393260;3551199026;4915973571;10006418221;5832471808;206263208.7;11898956330;130632401.9;480490970.9;433290564.6;2764993914;7538637056;1998394868;7175256555;4621643692;922269924.3;981300338.7;1937405033;11579541221;3287557814;3773724285;332058569.5;3049662787;8265467836;10890884118;other biological processes;"cytosol;cytoskeleton";;70;100;70;100;36;100;34;100
High;Q9BYR8;Keratin-associated protein 3-1 OS=Homo sapiens OX=9606 GN=KRTAP3-1 PE=1 SV=1;2868679488;22277341558;27804730297;14147694763;11006092893;6738548383;17122217521;21995209612;5559689302;25498101527;4273677761;6303149085;7178292062;5238447358;20225312301;8710713776;9561484861;3735618630;2838382022;16797584377;6846916238;7360474160;14496934422;566245458.6;41277654847;6258637710;22806464263;23198926075;22561505838;23591405329;16406108314;8167191345;23955911807;15822571688;17485122539;16291844214;17086343494;5998894959;6660458222;7500842447;9851113082;3288308937;20722345230;13744749031;8096021151;26556849150;12394480171;15808291716;27512240278;5010886364;719146597.7;7989528462;591641150.2;1883778143;1820819135;8775511901;12435385990;2464298171;18591097873;14836371509;3311290132;4462536130;8786185595;15078603435;11253086728;15599899162;4001009488;14362914470;28313352394;16922009754;;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q92764;Keratin, type I cuticular Ha5 OS=Homo sapiens OX=9606 GN=KRT35 PE=1 SV=5;2642161245;9415268006;9051292490;8593439459;4763484020;7237705573;2577435392;6371597979;10756238408;11444737048;2194363199;4686938800;2301105407;2148541481;5774615971;7436893533;3675588174;4301202064;2916479966;2488070712;2704617202;2673771782;2116619228;240429868.3;6669998737;3194139015;5359498487;4186943904;4084271269;4484573657;6679798005;3115511737;3509829513;2163923058;9208741778;5195669335;6686080783;2807343902;6592229660;1848079367;1074322945;1844318663;4942536944;4902830120;2984126712;4662264615;5355293933;5473594923;4329937255;4350549595;345483634.7;4696112547;206647901;828359708.9;686727324.5;7190463462;8497924612;1849769422;3392462989;4296742903;421174179.8;684627810.2;1476451966;3147300965;1612547544;2076675694;253894583.5;3803413904;4868082047;4579028499;other biological processes;"cytosol;cytoskeleton";other molecular function;70;100;70;100;36;100;34;100
High;Q9BYS1;Keratin-associated protein 1-5 OS=Homo sapiens OX=9606 GN=KRTAP1-5 PE=1 SV=1;2213710916;3147871952;5914199968;18839964258;3537075388;6468043012;1084151288;11920108297;35179480212;13582220915;6305215146;3347151100;1936994611;1704405084;346393907.8;8219614718;4032225304;3677556521;1234666204;1063892274;1379482806;598263275;813775023.5;38336026.5;1480371749;2378807806;6183931324;3724865438;7495820421;4301403966;5619189334;3071660916;2913364662;588911056.9;12268266613;3523150818;3643128397;1900211232;6572557285;1105543398;292081223.8;898072203;4889943630;897902547.5;1832916315;2436424690;8274265299;13612068768;14720335894;6616188926;119590958.9;9117927845;53027520.5;952934293.1;241895924.7;9364493696;12225017095;1446216066;2367769774;11483909951;183820539.5;194027791.8;2833894020;6668730849;1257267475;2666767185;99661308.38;7640122624;5573768100;2046927266;;"cytosol;cytoskeleton";;70;100;70;100;36;100;34;100
