"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"E5RH77",0.00773971081136389,"translation","40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"K7EJV9",0.00695120560114175,"translation","60S ribosomal protein L23a (Fragment) OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","nucleic acid binding activity;other molecular function"
"Q9BTU6",0.00659357714042535,"intracellular_signalling","Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens OX=9606 GN=PI4K2A PE=1 SV=1","cell organization and biogenesis;other metabolic processes;transport","plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component","kinase activity;other molecular function"
"U3KPR1",0.00568587218044121,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb6 (Fragment) OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1","","cytoskeleton",""
"Q96P63",0.00554685180392177,"intracellular_proteolysis","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1","developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;other cell component","enzyme regulator activity;other molecular function"
"P36542",0.00552220175472398,"oxidative_phosphorylation","ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1","other metabolic processes;transport","other membranes;mitochondrion","transporter activity"
"P04264",0.00530555086273774,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","bone, tooth or skin structural activity;other molecular function"
"O95235",0.00519045278419151,"cell_division","Kinesin-like protein KIF20A OS=Homo sapiens OX=9606 GN=KIF20A PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytoskeleton;ER/Golgi;nucleus;other cell component","cytoskeletal activity;other molecular function"
"P40429",0.00515521279265107,"translation","60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2","protein metabolism;other metabolic processes;stress response;other biological processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"P04745",0.0051215996341336,"additional_carb_catabolic_process","Alpha-amylase 1 OS=Homo sapiens OX=9606 GN=AMY1A PE=1 SV=2","other metabolic processes","non-structural extracellular","other molecular function"
"Q8N490",0.00507930172391961,"oxidative_stress_response","Probable hydrolase PNKD OS=Homo sapiens OX=9606 GN=PNKD PE=1 SV=2","other metabolic processes;other biological processes","other membranes;mitochondrion;nucleus","other molecular function"
"P62851",0.00501927151776366,"translation","40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1","protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;translational apparatus;nucleus;other cell component","other molecular function"
"P35527",0.00494679111858927,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton","cytoskeletal activity"
"P28066",0.00480727764635515,"intracellular_proteolysis","Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3","protein metabolism;other metabolic processes","non-structural extracellular;cytosol;nucleus;other cell component","other molecular function"
"Q8WUF5",0.00477857342642917,"apoptosis_regulation","RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4","RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","other molecular function"
"Q9UMX0",0.0047719684872566,"intracellular_proteolysis","Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"Q96B96",0.00449101211840653,"cholesterol_homeostasis","Lipid droplet assembly factor 1 OS=Homo sapiens OX=9606 GN=TMEM159 PE=1 SV=2","cell organization and biogenesis","other membranes;ER/Golgi;other cell component",""
"D6RG13",0.00445941342244888,"translation","40S ribosomal protein S3a (Fragment) OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;ER/Golgi;translational apparatus;nucleus","other molecular function"
"E9PEX6",0.0043024629584306,"additional_carb_catabolic_process","Dihydrolipoyl dehydrogenase OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=1","other biological processes","cytoskeleton;other cell component","other molecular function"
"P13647",0.00425315030040898,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3","cell organization and biogenesis;other biological processes","cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P62753",0.00416953141334917,"translation","40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1","cell cycle OR cell proliferation;protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;signal transduction;other biological processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","other molecular function"
"O75531",0.00390067953530396,"DNA_packaging","Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1","cell organization and biogenesis;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P07437",0.00388894602597419,"cell_organization","Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;other biological processes","non-structural extracellular;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"Q9NPA0",0.00376915347763564,"cell_organization","ER membrane protein complex subunit 7 OS=Homo sapiens OX=9606 GN=EMC7 PE=1 SV=1","cell organization and biogenesis","other membranes;ER/Golgi","other molecular function"
"P33897",0.00376565813472203,"beta_oxidation","ATP-binding cassette sub-family D member 1 OS=Homo sapiens OX=9606 GN=ABCD1 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;transport;developmental processes;other biological processes","other membranes;cytosol;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"P24298",0.00373726808391222,"AA_catabolic_process","Alanine aminotransferase 1 OS=Homo sapiens OX=9606 GN=GPT PE=1 SV=3","other metabolic processes;stress response;other biological processes","cytosol","other molecular function"
"O60814",0.00370873378410807,"DNA_packaging","Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3","cell organization and biogenesis;stress response;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P78385",0.00368756643911055,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb3 OS=Homo sapiens OX=9606 GN=KRT83 PE=1 SV=2","other biological processes","cytosol;cytoskeleton",""
"P36957",0.0036325822754651,"citric_acid_cycle","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4","protein metabolism;other metabolic processes","cytosol;cytoskeleton;mitochondrion;nucleus;other cell component","other molecular function"
"Q07065",0.00359801338970538,"cell_organization","Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2","","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component",""
"H0YHX9",0.00359501359228318,"protein_folding","Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=2","","translational apparatus",""
"P01876",0.00356581672516868,"adaptive_immune_system","Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes","other molecular function"
"P56537",0.00356469763376304,"translation","Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","translation activity;nucleic acid binding activity"
"P13645",0.0035252929132292,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6","cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","plasma membrane;cytosol;cytoskeleton;other cell component","bone, tooth or skin structural activity;other molecular function"
